Building Name,Postcode,District ,Sector,Floor Number (optional),Bedrooms,Sq/ft,£/sqft annualised,Sqm,£/sqm annualised,Year Built,Managing Agent,Concierge (Yes/No),Gym (Yes/No),Pool (Yes/No),Car Park (Yes/No),Roof Terrace (Yes/No),Other Amenities,Service Charge Period Start,Service Charge Period End,Vintage Year,Service Charge Period Days,Coverage/Reliability,Service Charge Amount (£),Service Charge Annual Amount (£),Service Charge Monthly Amount (£),Service Charge Daily Amount (£),Major Works This Period? (Yes/No),Notes (optional)
Bagshaw Building ,E14 9AZ,E14,E14 9,8,1,514,2.444300692,47.75216256,26.31023368,2020,Ballymore,24 hours yes ,Yes,Yes 25meters,,Yes,"Cinema, Business lounge, spa",1/1/21,30/6/21,2021,180,Medium,619.58,1256.370556,104.6975463,3.442111111,,
Bagshaw Building ,E14 9AZ,E14,E14 9,8,1,514,7.475938211,47.75216256,80.47032918,2020,Ballymore,24 hours yes ,Yes,Yes 25meters,,Yes,"Cinema, Business lounge, spa",1/7/21,31/12/21,2021,183,Medium,1926.58,3842.63224,320.2193534,10.52775956,,
Bagshaw Building ,E14 9AZ,E14,E14 9,8,1,514,7.693720277,47.75216256,82.81451583,2020,Ballymore,24 hours yes ,Yes,Yes 25meters,,Yes,"Cinema, Business lounge, spa",1/1/22,30/6/22,2022,180,Medium,1950.2,3954.572222,329.5476852,10.83444444,,
Bagshaw Building ,E14 9AZ,E14,E14 9,8,1,514,10.59055676,47.75216256,113.9958042,2020,Ballymore,24 hours yes ,Yes,Yes 25meters,,Yes,"Cinema, Business lounge, spa",1/7/22,31/12/22,2022,183,Medium,2729.23,5443.546175,453.6288479,14.91382514,,
Bagshaw Building ,E14 9AZ,E14,E14 9,8,1,514,10.56226057,47.75216256,113.6912266,2020,Ballymore,24 hours yes ,Yes,Yes 25meters,,Yes,"Cinema, Business lounge, spa",1/1/24,30/6/24,2024,181,Medium,2692.19,5429.001934,452.4168278,14.8739779,,
Bagshaw Building ,E14 9AZ,E14,E14 9,8,1,514,10.44682603,47.75216256,112.4486995,2020,Ballymore,24 hours yes ,Yes,Yes 25meters,,Yes,"Cinema, Business lounge, spa",1/7/24,31/12/24,2024,183,Medium,2692.19,5369.668579,447.4723816,14.71142077,,
Bagshaw Building ,E14 9AZ,E14,E14 9,8,1,514,11.56365921,47.75216256,124.4701918,2020,Ballymore,24 hours yes ,Yes,Yes 25meters,,Yes,"Cinema, Business lounge, spa",1/1/25,30/6/25,2025,180,Medium,2931.15,5943.720833,495.3100694,16.28416667,,
Bagshaw Building ,E14 9DA,E14,E14 9,10,Studio,415,6.452340027,38.5547616,69.45241003,2020,Ballymore,24 hours yes ,Yes,Yes 25meters,,Yes,"Cinema, Business lounge, spa",1/1/21,30/6/21,2021,180,Medium,1320.52,2677.721111,223.1434259,7.336222222,,
Bagshaw Building ,E14 9DA,E14,E14 9,10,Studio,415,7.035704819,38.5547616,75.73169639,2020,Ballymore,24 hours yes ,Yes,Yes 25meters,,Yes,"Cinema, Business lounge, spa",1/1/22,30/6/22,2022,180,Medium,1439.91,2919.8175,243.318125,7.9995,,
Bagshaw Building ,E14 9DA,E14,E14 9,10,Studio,415,9.8466614,38.5547616,105.9885812,2020,Ballymore,24 hours yes ,Yes,Yes 25meters,,Yes,"Cinema, Business lounge, spa",1/7/23,31/12/23,2023,183,Medium,2048.78,4086.364481,340.5303734,11.19551913,,
Bagshaw Building ,E14 9DA,E14,E14 9,10,Studio,415,9.817802703,38.5547616,105.6779488,2020,Ballymore,24 hours yes ,Yes,Yes 25meters,,Yes,"Cinema, Business lounge, spa",1/1/24,30/6/24,2024,181,Medium,2020.45,4074.388122,339.5323435,11.16270718,,
Bagshaw Building ,E14 9DA,E14,E14 9,10,Studio,415,9.710504312,38.5547616,104.5229985,2020,Ballymore,24 hours yes ,Yes,Yes 25meters,,Yes,"Cinema, Business lounge, spa",1/7/24,31/12/24,2024,183,Medium,2020.45,4029.85929,335.8216075,11.04071038,,
Bagshaw Building ,E14 9DA,E14,E14 9,10,Studio,415,10.74829719,38.5547616,115.6937081,2020,Ballymore,24 hours yes ,Yes,Yes 25meters,,Yes,"Cinema, Business lounge, spa",1/1/25,30/6/25,2025,180,Medium,2199.72,4460.543333,371.7119444,12.22066667,,
